subjID,condition,switch,group,correct,correct_8,explore,status,time,totalEarn
C865800,static,0.113924051,adult,1,1,0.075,NA,NA,456
C883278,static,0.291139241,adult,1,1,0.175,NA,NA,449
C885660,static,0.379746835,adult,1,1,0.3125,NA,NA,429
C915326,static,0.265822785,adult,0.8,0,0.15,NA,NA,441
C927583,static,0.050632911,adult,1,1,0.025,NA,NA,456
C932729,static,0.291139241,adult,1,1,0.2,NA,NA,468
C932956,dynamic,0.075949367,adult,0.8,0,0.0375,0,80,465
C942598,dynamic,0.341772152,adult,1,1,0.1875,1,50,453
C942827,static,0.101265823,adult,0.8,0,0.0875,NA,NA,415
C950491,dynamic,0.126582278,adult,0.8,0,0.075,0,80,381
C958556,static,0.202531646,adult,0.4,1,0.1125,NA,NA,424
C972222,static,0.063291139,adult,1,1,0.0375,NA,NA,468
C979608,dynamic,0.202531646,adult,0.6,1,0.1,1,54,409
C983147,dynamic,0.063291139,adult,0.2,0,0.025,0,80,451
C990326,static,0.265822785,adult,1,1,0.1625,NA,NA,464
C996097,static,0.101265823,adult,1,1,0.0625,NA,NA,413
C998204,dynamic,0.050632911,adult,0.8,0,0.025,0,80,456
